NUTS2,y2006,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060
HU10,2855670,2951436,2995282,3118898,3247169,3373193,3498293,3625904,3757743,3882973,4003659,4115889
HU21,1108124,1098654,1065702,1046926,1027488,1005868,982837,959290,935869,911111,886687,862269
HU22,1000142,996390,983308,981813,979816,975414,969031,961614,953466,943362,932916,921676
HU23,970700,947986,912141,883574,855578,826641,796481,765268,733860,701511,670514,641039
HU31,1261489,1209142,1163061,1102901,1044880,986955,928649,870221,812629,755250,699990,646730
HU32,1533162,1492502,1472308,1430550,1389527,1345950,1298767,1248178,1196027,1141968,1088867,1036362
HU33,1347294,1318214,1271406,1235157,1200884,1165340,1128134,1090010,1052373,1013970,977150,941335
IE01,1126474,1227429,1239502,1241485,1233534,1231641,1244377,1272389,1310619,1352897,1393741,1431408
IE02,3082545,3321999,3363344,3368709,3342639,3325262,3345215,3408278,3503081,3612057,3716527,3807812
ITC1,4341733,4362041,4463190,4513794,4566196,4628386,4700129,4770946,4824598,4846081,4838149,4819484
ITC2,123978,126686,130354,132168,134291,136764,139517,142165,144207,145218,145360,145267
ITC3,1610134,1576443,1586649,1583129,1585487,1595120,1610368,1626992,1639079,1640970,1633339,1623084
ITC4,9475202,9600951,10080989,10398264,10717466,11051354,11398024,11733687,12019109,12216390,12330369,12406478
ITD1,482650,498315,526777,549695,572375,595060,617115,637247,654096,666225,673876,679201
ITD2,502478,518796,548637,572777,597472,622942,648238,671756,691873,707198,718280,727492
ITD3,4738313,4841933,5003093,5104169,5208018,5319962,5435953,5542433,5620476,5653132,5645302,5622261
ITD4,1208278,1221569,1250010,1262490,1278437,1298002,1319818,1340896,1356738,1362647,1359409,1353236
ITD5,4187557,4306684,4517658,4687253,4867913,5063875,5270745,5473985,5653216,5790172,5887017,5963999
ITE1,3619872,3657340,3786694,3874965,3967663,4068493,4174769,4277411,4362988,4418174,4443867,4455111
ITE2,867878,880202,910947,935485,960961,988344,1017156,1045134,1068890,1085319,1094836,1100992
ITE3,1528809,1540272,1582398,1611704,1640856,1672450,1706061,1737855,1761958,1772851,1771647,1765055
ITE4,5304778,5442963,5724911,5928782,6130952,6334973,6537059,6725170,6880280,6983131,7035795,7061234
ITF1,1305307,1307778,1337511,1353130,1370267,1388425,1405929,1419585,1425567,1420740,1406362,1387524
ITF2,320907,315536,315532,311348,307441,303874,300233,295694,289410,280976,270907,260371
ITF3,5790929,5758375,5825217,5823249,5827512,5827298,5812941,5772917,5696520,5578222,5426465,5261559
ITF4,4071518,4048007,4090788,4082603,4070714,4053495,4026872,3983980,3917805,3823526,3705041,3574941
ITF5,594086,581140,577787,566569,555861,545466,534727,522159,506159,486082,463104,439379
