NUTS2,y2012,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050
RO11,0,1124,4067,5889,7222,8387,9800,10962,12072
RO12,0,-65,3400,5606,7613,9323,11300,12885,14473
RO21,0,-3839,-1482,-121,843,1948,3447,4653,5654
RO22,0,-2468,-582,-277,-526,-671,-356,-491,-725
RO31,0,-250,514,216,-476,-1135,-1536,-2283,-3188
RO32,0,-141,2495,4449,6214,7775,9678,11341,13023
RO41,0,-798,-648,-794,-1016,-1339,-1596,-2019,-2472
RO42,0,241,1686,2596,3362,3955,4689,5226,5767
RS01,0,0,0,0,0,0,0,0,0
RS02,0,0,0,0,0,0,0,0,0
RS03,0,0,0,0,0,0,0,0,0
RS04,0,0,0,0,0,0,0,0,0
SE11,0,1699,6383,10820,15330,19518,23729,27754,31717
SE12,0,946,3139,5214,7208,8939,10645,12299,13969
SE21,0,199,1058,1784,2448,2942,3430,3866,4309
SE22,0,1264,4463,7619,10731,13612,16512,19382,22226
SE23,0,959,3771,6411,8976,11189,13364,15407,17421
SE31,0,410,1027,1513,1967,2253,2531,2742,2965
SE32,0,64,362,583,798,930,1065,1158,1254
SE33,0,225,744,1150,1506,1725,1934,2100,2274
SI01,0,-720,-523,-553,-684,-903,-1097,-1348,-1671
SI02,0,-434,884,2027,3142,4178,5303,6401,7488
SK01,0,322,1700,2763,3651,4322,5050,5763,6471
SK02,0,202,1080,1265,797,-378,-1853,-3564,-5543
SK03,0,-411,359,846,1145,1108,934,557,56
SK04,0,-324,724,1689,2563,3184,3717,4060,4272
UKC1,0,289,1065,1730,2289,2744,3191,3641,4072
UKC2,0,355,1223,2052,2834,3491,4109,4685,5243
UKD1,0,-313,-121,-50,-19,-95,-190,-338,-495
UKD2,0,-161,741,1490,2128,2637,3108,3562,3996
UKD3,0,1012,3448,5945,8462,10941,13555,16254,18961
UKD4,0,104,791,1402,1951,2384,2820,3251,3677
UKD5,0,9,422,824,1169,1396,1600,1778,1940
UKE1,0,234,461,665,823,925,1025,1116,1189
UKE2,0,631,1386,2001,2577,3021,3437,3791,4140
UKE3,0,520,2090,3729,5375,6973,8608,10289,11990
UKE4,0,542,2372,4256,6188,8129,10169,12263,14351
UKF1,0,700,2933,5150,7324,9345,11358,13391,15438
UKF2,0,594,2393,4147,5859,7496,9156,10828,12482
UKF3,0,218,809,1357,1870,2314,2746,3167,3592
UKG1,0,504,1444,2224,2872,3342,3752,4137,4516
UKG2,0,665,2020,3186,4183,4993,5742,6461,7146
UKG3,0,1227,4090,7176,10449,13831,17446,21224,25084
UKH1,0,792,3129,5318,7401,9302,11189,13065,14943
UKH2,0,966,3306,5668,8041,10397,12833,15335,17837
UKH3,0,917,3007,4963,6798,8491,10162,11847,13513
UKI1,0,-275,2896,5940,9108,12096,15184,18171,21164
UKI2,0,2458,9088,15838,22810,29993,37647,45637,53719
UKJ1,0,917,3981,6781,9480,12098,14834,17627,20380
UKJ2,0,550,3458,6287,9084,11709,14313,16881,19398
UKJ3,0,327,2160,3916,5625,7198,8769,10337,11904
UKJ4,0,802,3578,6302,8974,11517,14047,16597,19160
UKK1,0,1078,3498,5818,8078,10168,12255,14334,16413
UKK2,0,-285,818,1807,2734,3512,4249,4930,5598
UKK3,0,-1240,-424,282,953,1504,2027,2516,3026
UKK4,0,-265,521,1199,1827,2314,2779,3208,3648
UKL1,0,158,1209,2198,3099,3805,4485,5145,5815
UKL2,0,503,1690,2823,3922,4913,5894,6868,7846
UKM2,0,690,2263,3835,5419,6820,8181,9456,10713
UKM3,0,957,1619,2363,3082,3640,4146,4576,4956
UKM5,0,189,592,995,1401,1765,2128,2479,2836
UKM6,0,702,1382,1853,2265,2547,2795,2973,3139
UKN0,0,533,2267,3842,5280,6554,7820,9068,10246
XK01,0,0,0,0,0,0,0,0,0
